192.168.39.32;/27;ABRAJ-SITE28 LAN  
192.168.39.64;/27;ABRAJ-SITE29 LAN  
192.168.39.96;/27;ABRAJ-SITE30 LAN  
192.168.39.128;/27;ABRAJ-SITE31 LAN  
192.168.40.0;/27;ABRAJ-SITE27 ABRJ2 LAN 
192.168.41.0;/28;ABRAJ-SITE06 CCTV LAN 
192.168.41.16;/28;ABRAJ-SITE02 CCTV LAN 
192.168.41.32;/28;ABRAJ-SITE03 CCTV LAN 
192.168.41.48;/28;ABRAJ-SITE07 CCTV LAN 
192.168.41.64;/28;ABRAJ-SITE08 CCTV LAN 
192.168.41.80;/28;ABRAJ-SITE09 CCTV LAN 
192.168.41.96;/28;ABRAJ-SITE10 CCTV LAN 
192.168.41.112;/28;ABRAJ-SITE11 CCTV LAN 
192.168.41.128;/28;ABRAJ-SITE12 CCTV LAN 
192.168.41.144;/28;ABRAJ-SITE13 CCTV LAN 
192.168.41.160;/28;ABRAJ-SITE14 CCTV LAN 
192.168.41.176;/28;ABRAJ-SITE04 CCTV LAN 
192.168.41.192;/28;ABRAJ-SITE05 CCTV LAN 
192.168.41.208;/28;ABRAJ-SITE15 CCTV LAN 
192.168.41.224;/28;ABRAJ-SITE16 CCTV LAN 
192.168.41.240;/28;ABRAJ-SITE17 CCTV LAN 
192.168.42.0;/28;ABRAJ-SITE18 CCTV LAN 
192.168.42.16;/28;ABRAJ-SITE19 CCTV LAN 
192.168.42.32;/28;ABRAJ-SITE20 CCTV LAN 
192.168.42.48;/28;ABRAJ-SITE21 CCTV LAN 
192.168.42.64;/28;ABRAJ-SITE22 CCTV LAN 
192.168.42.80;/28;ABRAJ-SITE23 CCTV LAN 
192.168.42.96;/28;ABRAJ-SITE25 CCTV LAN 
192.168.42.112;/28;ABRAJ-SITE26 CCTV LAN 
192.168.42.128;/28;ABRAJ-SITE24 CCTV LAN 
192.168.42.160;/27;ABRAJ-SITE28 CCTV LAN 
192.168.42.192;/27;ABRAJ-SITE29 CCTV LAN 
192.168.42.224;/27;ABRAJ-SITE30 CCTV LAN 
192.168.43.0;/27;ABRAJ-SITE31 CCTV LAN 
192.168.254.32;/29;ABRAJ-SITE01 HQ IC Marlink
10.9.9.52;/30;TOTAL-SITE12 : MODEM-CPE Herd
10.9.9.56;/30;TOTAL-SITE13 : MODEM-CPE Port
10.55.30.241;/32;TOTAL-SITE13-ROUTER01 : Port Moresby
10.55.30.243;/32;TOTAL-SITE12-ROUTER01 : Herd Base
172.20.1.0;/27;KCA-SITE30 - CCTV LAN
172.20.1.32;/27;KCA-SITE31 - CCTV LAN
172.20.1.64;/27;KCA-SITE27 - CCTV LAN
172.20.1.96;/27;KCA-SITE29 - CCTV LAN
172.20.1.128;/27;KCA-SITE21 - CCTV LAN
172.20.1.160;/27;KCA-SITE34 - CCTV LAN
172.20.1.192;/27;KCA-SITE32 - CCTV LAN
172.20.1.224;/27;KCA-SITE39 - CCTV LAN
172.20.2.0;/27;KCA-SITE38 - CCTV LAN
172.20.2.32;/27;KCA-SITE37 - CCTV LAN
172.20.2.64;/27;KCA-SITE35 - CCTV LAN
172.20.2.96;/27;KCA-SITE36 - CCTV LAN
172.20.2.128;/27;KCA-SITE28 - CCTV LAN
172.25.2.0;/24;KCA-SITE21 KCADEU LAN 
172.25.3.0;/24;KCA-SITE02 KCADEU LAN 
172.25.4.0;/24;KCA-SITE03 KCADEU LAN 
172.25.5.0;/24;KCA-SITE04 KCADEU LAN 
172.25.6.0;/24;KCA-SITE08 KCADEU LAN 
172.25.8.0;/24;KCA-SITE44 KCADEU LAN (to
172.25.9.0;/24;KCA-SITE45 KCADEU LAN 
172.25.11.0;/24;KCA-SITE22 KCADEU LAN 
172.25.12.0;/23;KCA-SITE44 KCADEU LAN 
172.25.15.0;/24;KCA-SITE06 KCADEU LAN 
172.25.61.0;/24;KCA-SITE40 KCADEU LAN 
172.25.174.0;/24;KCA-SITE50 KCADEU LAN 
172.25.175.0;/24;KCA-SITE42 KCADEU LAN 
172.25.176.0;/24;KCA-SITE19 KCADEU LAN 
172.25.177.0;/24;KCA-SITE20 KCADEU LAN 
172.25.181.0;/24;KCA-SITE26 KCADEU LAN 
172.25.183.0;/24;KCA-SITE07 KCADEU LAN 
172.25.195.0;/24;KCA-SITE24 KCADEU LAN 
172.25.199.0;/24;KCA-SITE10 KCADEU LAN 
172.28.4.0;/23;KCA-SITE45 KCADEU LAN 
172.28.6.0;/23;KCA-SITE17 KCADEU LAN 
172.28.8.0;/23;KCA-SITE16 KCADEU LAN 
172.28.10.0;/23;KCA-SITE12 KCADEU LAN 
172.28.12.0;/23;KCA-SITE11 KCADEU LAN 
172.28.14.0;/23;KCA-SITE13 KCADEU LAN 
172.28.16.0;/23;KCA-SITE14 KCADEU LAN 
172.28.18.0;/23;KCA-SITE15 KCADEU LAN 
172.28.20.0;/23;KCA-SITE18 KCADEU LAN 
172.28.22.0;/23;KCA-SITE25 KCADEU LAN 
172.28.26.0;/23;KCA-SITE38 KCADEU LAN 
172.28.28.0;/23;KCA-SITE39 KCADEU LAN 
172.28.30.0;/23;KCA-SITE34 KCADEU LAN 
172.28.32.0;/23;KCA-SITE37 KCADEU LAN 
172.28.34.0;/23;KCA-SITE32 KCADEU LAN 
172.28.42.0;/23;KCA-SITE27 KCADEU LAN 
172.28.44.0;/23;KCA-SITE35 KCADEU LAN 
172.28.46.0;/23;KCA-SITE36 KCADEU LAN 
172.28.48.0;/23;KCA-SITE28 KCADEU LAN 
172.28.50.0;/23;KCA-SITE29 KCADEU LAN 
172.28.54.0;/23;KCA-SITE30 KCADEU LAN 
172.28.56.0;/23;KCA-SITE31 KCADEU LAN 
172.28.58.0;/23;KCA-SITE33 KCADEU LAN 
172.28.64.0;/23;KCA-SITE43 KCADEU LAN 
172.28.70.0;/23;KCA-SITE01 KCADEU LAN 
172.29.4.0;/23;KCA-SITE52 LAN KCADE 
172.29.8.0;/23;KCA-SITE06 LAN KCADEU 
172.29.10.0;/23;KCA-SITE47 LAN KCADEU 
172.29.16.0;/23;KCA-SITE23 LAN KCADEU 
172.29.254.0;/24;KCA-SITE48 KCADEU LAN 
172.29.255.0;/24;KCA-SITE49 KCADEU LAN 
